PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG
0,6.863127856853252,2.849117365970068,0.6097346095762831,0.1150076126632697,309.5529580323339,40.50987572570001,47.62693315206691,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,73.41989411789373,11.5588442
0,6.894972051404525,2.8532510691899633,0.5779554333147048,0.11390047271749619,309.9719718039562,40.678982471117436,50.04995228879027,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,72.7019653439371,11.55881977
0,6.894061332918712,2.850856120788896,0.575407980385809,0.10334119711283904,233.84559098541789,40.46513566032355,50.04132442660608,free,y,h,foc,e,s,2840.64,167.73,70.28,534.16,72.6925166193704,11.52576789
2,6.894972051404525,2.8532510691899633,0.5779554333147048,0.11390047271749619,103.9540149342536,24.187503090934694,50.04995228879027,free,y,h,foc,e,s,545.18,195.08,1400.0,200.0,72.7019653439371,11.49312885
4,6.893349102853553,2.9527622306278114,0.5580141824773508,0.10565131659790047,0.9293511781634226,19.92976009961377,48.73710619832778,free,y,h,foc,e,s,1579.49,164.77,2865.33,197.52,67.83785017860266,11.46147624
0,6.894061332918712,2.850856120788896,0.575407980385809,0.10334119711283904,350.23449243478115,40.46513566032355,50.04132442660608,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,72.6925166193704,11.55881977
0,6.894061332918712,2.850856120788896,0.575407980385809,0.10334119711283904,233.84559098541789,40.46513566032355,50.04132442660608,free,y,h,foc,e,s,2877.59,168.07,70.28,534.16,72.6925166193704,11.52576348
1,6.865267998871399,2.8519702714459,0.6099801197860086,0.11407482900872871,103.49794949409339,23.663716720120163,47.084830969258434,free,y,h,foc,e,s,419.22,199.33,1140.8,194.22,72.38654514249762,11.49312296
4,6.893349102853553,2.9527622306278114,0.5580141824773508,0.10565131659790047,0.9293511781634226,19.92976009961377,48.73710619832778,free,y,h,foc,e,s,1246.61,167.61,2853.8,196.58,67.83785017860266,11.46147317
0,6.894061332918712,2.850856120788896,0.575407980385809,0.10334119711283904,350.23449243478115,40.46513566032355,50.04132442660608,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,72.6925166193704,11.55881977
0,6.894061332918712,2.850856120788896,0.575407980385809,0.10334119711283904,233.84559098541789,40.46513566032355,50.04132442660608,free,y,h,foc,e,s,2877.59,168.07,70.28,534.16,72.6925166193704,11.5257637
1,6.865267998871399,2.8519702714459,0.6099801197860086,0.11407482900872871,103.49794949409339,23.663716720120163,47.084830969258434,free,y,h,foc,e,s,531.15,195.49,1171.79,194.91,72.38654514249762,11.49311825
4,6.893349102853553,2.9527622306278114,0.5580141824773508,0.10565131659790047,0.9293511781634226,19.92976009961377,48.73710619832778,free,y,h,foc,e,s,1491.47,163.31,2936.78,196.3,67.83785017860266,11.46146728
0,7.083299649058766,4.327815200929575,0.6510992211512666,0.2495601732922782,541.5853810883482,67.04548034375668,42.429313471144056,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,103.28220705918314,12.08804791
0,7.080693115669474,4.33106974602288,0.649333675901235,0.24705255547274912,540.5108069195221,66.687353393191,41.633884513151905,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,102.43548431417334,12.08801127
2,7.080725767737549,4.333382391242887,0.649333675901235,0.24889053601904446,315.19830073201166,65.61303272396954,41.65196585742092,foc,e,h,distr,y,s,104.08,278.9,1676.47,169.83,101.34116319949669,12.03736869
2,7.110422744222866,4.350473252463347,0.6125310758945709,0.22550887147607418,177.26694663031128,66.83065877473537,44.28350243906503,foc,e,h,distr,y,s,104.08,278.9,1676.47,169.83,101.76952326711856,11.98768747
0,7.080693115669474,4.33106974602288,0.649333675901235,0.24705255547274912,540.5108069195221,66.687353393191,41.633884513151905,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,102.43548431417334,12.08801127
2,7.080725767737549,4.333382391242887,0.649333675901235,0.24889053601904446,315.19830073201166,65.61303272396954,41.65196585742092,foc,e,h,distr,y,s,110.16,339.59,2014.25,180.3,101.34116319949669,12.03738652
5,7.080725767737549,4.333382391242887,0.649333675901235,0.24889053601904446,157.1287051410327,65.61303272396954,41.65196585742092,foc,e,h,distr,y,s,5485.22,133.51,2882.08,197.64,101.34116319949669,11.98770016
0,7.080693115669474,4.33106974602288,0.649333675901235,0.24705255547274912,540.5108069195221,66.687353393191,41.633884513151905,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,102.43548431417334,12.08801127
2,7.10968816171629,4.486529184346144,0.5940150974758897,0.2305119634863283,311.3326446847466,55.259789367110905,43.11359394467457,foc,e,h,distr,y,s,110.16,339.59,2850.17,196.58,94.97299025004374,12.03738355
5,7.1100138187999224,4.487743408162593,0.5961750467393546,0.2305119634863283,159.26838405949573,56.026530856179335,43.11359394467457,foc,e,h,distr,y,s,2925.1,231.67,2924.15,198.27,94.97299025004374,11.98768624
0,5.315309516156007,2.8728379837342777,0.4921694141113938,0.34037230370197424,238.9861742863611,33.86459662379768,68.04941012619655,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,48.40131224976715,11.48087689
0,5.317889477014507,2.8721255383819138,0.4919194514403295,0.3422244870261862,238.0452838364148,33.344328105623866,67.9108138979689,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,47.5683010936413,11.48085857
0,5.340898464925331,2.87341538770014,0.46609309138282645,0.3417014181524886,159.71116839898963,19.789775256219293,72.18743118575517,foc,y,h,free,y,u,148.0,743.6,1777.71,414.59,47.775577226015805,11.45510884
3,5.317889477014507,2.8721255383819138,0.4919194514403295,0.3422244870261862,79.9756882454358,33.344328105623866,67.9108138979689,foc,y,h,free,y,u,278.08,184.17,2877.66,195.43,47.5683010936413,11.43021602
4,5.317889477014507,2.8721255383819138,0.4919194514403295,0.3422244870261862,0.9408904499463036,33.344328105623866,67.9108138979689,foc,y,h,free,y,u,1320.74,433.92,2877.66,195.43,47.5683010936413,11.40497128
0,5.317889477014507,2.8721255383819138,0.4919194514403295,0.3422244870261862,238.0452838364148,33.344328105623866,67.9108138979689,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,47.5683010936413,11.48085857
0,5.340898464925331,2.87341538770014,0.46609309138282645,0.3417014181524886,159.71116839898963,19.789775256219293,72.18743118575517,foc,y,h,free,y,u,148.0,743.6,1777.71,414.59,47.775577226015805,11.45511146
3,5.317889477014507,2.8721255383819138,0.4919194514403295,0.3422244870261862,79.9756882454358,33.344328105623866,67.9108138979689,foc,y,h,free,y,u,339.72,186.57,2877.66,195.43,47.5683010936413,11.43021253
