PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG
0,6.4133739929806355,2.8311095938724438,0.577333684587599,0.11995689617155178,326.87621891647154,35.65252068319515,51.557857879719464,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,67.95417755214325,11.5588442
0,7.292118322967434,3.0106166993069228,0.6398558373961684,0.1169669329049842,299.24751135363505,35.44223322513938,47.87581075924797,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,71.93599404133721,11.55881977
0,6.425284264004818,2.875486683033094,0.5777042779924931,0.1188790079899811,211.45938146779295,35.10627174914187,50.67427399287228,free,y,h,foc,e,s,2840.64,167.73,70.28,534.16,67.02450402811272,11.52576789
2,7.190480821914019,2.8462452240245133,0.6119284878686762,0.11276409074797733,115.0829099646906,21.34923682710025,50.71424098965904,free,y,h,foc,e,s,545.18,195.08,1400.0,200.0,76.3026340590652,11.49312885
4,6.5659406814694545,2.8797520621363097,0.6155857395216678,0.11278900774365416,1.0145518248781578,20.911024074566118,55.62460249608242,free,y,h,foc,e,s,1579.49,164.77,2865.33,197.52,74.52885218299612,11.46147624
0,7.292118322967434,3.0106166993069228,0.6398558373961684,0.1169669329049842,299.24751135363505,35.44223322513938,47.87581075924797,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,71.93599404133721,11.55881977
0,6.425284264004818,2.875486683033094,0.5777042779924931,0.1188790079899811,211.45938146779295,35.10627174914187,50.67427399287228,free,y,h,foc,e,s,2877.59,168.07,70.28,534.16,67.02450402811272,11.52576348
1,7.534834323998538,2.554024767442934,0.6550188879285782,0.11824993347831814,118.36651999822068,21.934472051415124,47.22396163235367,free,y,h,foc,e,s,419.22,199.33,1140.8,194.22,66.54487832739862,11.49312296
4,7.303873773632683,2.9337308849682513,0.6353182292397223,0.11691039274074368,0.9138431431844155,21.07377671797881,48.16341979164355,free,y,h,foc,e,s,1246.61,167.61,2853.8,196.58,71.93440644690341,11.46147317
0,7.292118322967434,3.0106166993069228,0.6398558373961684,0.1169669329049842,299.24751135363505,35.44223322513938,47.87581075924797,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,71.93599404133721,11.55881977
0,6.425284264004818,2.875486683033094,0.5777042779924931,0.1188790079899811,211.45938146779295,35.10627174914187,50.67427399287228,free,y,h,foc,e,s,2877.59,168.07,70.28,534.16,67.02450402811272,11.5257637
1,6.51415884008278,2.6849574899034465,0.629568567073915,0.11890774099981524,105.38162180732344,23.761389006530266,51.669651151984624,free,y,h,foc,e,s,531.15,195.49,1171.79,194.91,74.37768486501724,11.49311825
4,7.306993997352355,2.9429317013949077,0.6580601610110938,0.11702984047399057,0.9170482837487984,21.090569867741365,48.044832851961665,free,y,h,foc,e,s,1491.47,163.31,2936.78,196.3,71.93440664101887,11.46146728
0,6.878325154996546,4.4917723640155724,0.6285591997726303,0.22370417789746017,505.5480974450991,63.87483114430026,49.367057195349105,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,100.64329605282029,12.08804791
0,7.410306329042213,4.687921887559202,0.7214127352773627,0.22695279800819537,548.000287837903,64.58465734436174,44.206622190778546,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,102.36607498318776,12.08801127
2,6.928462800622495,3.882587279315443,0.6733416560591098,0.21648082451041156,357.3070895852495,65.24183977955995,41.70689674137024,foc,e,h,distr,y,s,104.08,278.9,1676.47,169.83,101.80603751024991,12.03736869
2,7.37202782760746,4.2755215212254525,0.7028222493273031,0.24895046037664778,178.03534563924717,63.00751336803013,47.983489817134895,foc,e,h,distr,y,s,104.08,278.9,1676.47,169.83,105.79573729105248,11.98768747
0,7.410306329042213,4.687921887559202,0.7214127352773627,0.22695279800819537,548.000287837903,64.58465734436174,44.206622190778546,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,102.36607498318776,12.08801127
2,7.8838921868339105,3.887716569738817,0.623469748689043,0.2523358525484039,330.59132308112936,65.61067229072499,45.88017567343514,foc,e,h,distr,y,s,110.16,339.59,2014.25,180.3,95.5843907365603,12.03738652
5,7.807604355278611,4.404931592674078,0.6910302128408116,0.25003703764876495,155.31796784288395,66.8209660400237,49.525641141545194,foc,e,h,distr,y,s,5485.22,133.51,2882.08,197.64,104.26207466438747,11.98770016
0,7.410306329042213,4.687921887559202,0.7214127352773627,0.22695279800819537,548.000287837903,64.58465734436174,44.206622190778546,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,102.36607498318776,12.08801127
2,7.2423127317987355,4.076206027846817,0.7081279324104256,0.239156842492876,333.70243467404697,66.64662641242332,41.43098927949064,foc,e,h,distr,y,s,110.16,339.59,2850.17,196.58,90.54281404442825,12.03738355
5,7.750915243555142,4.403798220347965,0.6033740119336772,0.22733824838305647,161.32186885049373,65.34811599712675,42.466327437773145,foc,e,h,distr,y,s,2925.1,231.67,2924.15,198.27,106.76178095252577,11.98768624
0,5.656506537444893,2.9787708596129328,0.5322988678653913,0.3491526895948613,231.74186983487553,30.156990590341742,71.49023355096239,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,48.10005123119548,11.48087689
0,5.874208750496434,2.5737895126853423,0.5280785397709019,0.3543922183004319,263.2303748509512,30.916211314479536,68.01755422910789,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,43.69645931484188,11.48085857
0,5.865399319576029,2.7763091566347438,0.5057384476969173,0.35474376538259134,177.98065595498298,18.10831292145366,68.29599443367903,foc,y,h,free,y,u,148.0,743.6,1777.71,414.59,43.73104395518388,11.45510884
3,4.977923746629338,2.89421737994489,0.4742958115635009,0.3566122394361703,84.26539017259778,29.396216531093437,73.0258956934768,foc,y,h,free,y,u,278.08,184.17,2877.66,195.43,43.95455591854257,11.43021602
4,5.657615795525846,2.9648193861118575,0.5319721182432968,0.3511016840387616,0.9124094653667001,29.694256463918077,69.39907749869495,foc,y,h,free,y,u,1320.74,433.92,2877.66,195.43,47.27657921368813,11.40497128
0,5.874208750496434,2.5737895126853423,0.5280785397709019,0.3543922183004319,263.2303748509512,30.916211314479536,68.01755422910789,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,43.69645931484188,11.48085857
0,5.865399319576029,2.7763091566347438,0.5057384476969173,0.35474376538259134,177.98065595498298,18.10831292145366,68.29599443367903,foc,y,h,free,y,u,148.0,743.6,1777.71,414.59,43.73104395518388,11.45511146
3,5.6670696922385995,2.9766191332265546,0.5143844206392446,0.350727411212124,77.56072147149433,29.686754167221117,69.2493326921097,foc,y,h,free,y,u,339.72,186.57,2877.66,195.43,47.27137202527488,11.43021253
4,5.046103045229926,2.702901060655961,0.488520722588307,0.3567965736400002,0.9574641601699496,33.34531175384791,77.92173352150327,foc,y,h,free,y,u,1253.73,400.55,2877.66,195.43,48.86614437178502,11.40496291
0,5.874208750496434,2.5737895126853423,0.5280785397709019,0.3543922183004319,263.2303748509512,30.916211314479536,68.01755422910789,foc,y,h,free,y,u,211.87,723.35,1777.71,414.59,43.69645931484188,11.48085857
0,5.447092105497455,2.9515391231385566,0.5250478701153617,0.35072674372351886,155.00207820342854,17.293297392909672,69.3663372469565,foc,y,h,free,y,u,148.0,743.6,1777.71,414.59,47.27131874428108,11.45511668
3,5.089695444385802,2.889978411260394,0.5056206979732766,0.34629755651079186,88.9098961210277,29.451703832401087,81.78612707927824,foc,y,h,free,y,u,309.0,186.38,2877.66,195.43,48.72529604681244,11.43021933
4,5.657615795525846,2.9648193861118575,0.5319721182432968,0.3511016840387616,0.9124094653667001,29.694256463918077,69.39907749869495,foc,y,h,free,y,u,1320.74,433.92,2877.66,195.43,47.27657921368813,11.40496677
0,5.656262702113847,3.3361167111548657,0.598297064408911,0.28507001969932666,550.5283438943094,93.85819547810426,62.20570793121431,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,48.59581869671498,12.17367891
0,5.003421021237126,3.0467151679187676,0.5471137591537363,0.2914163860874392,596.7193208591568,104.70650630585229,66.52903882797715,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,49.91100471328965,12.17363616
3,5.660702732884741,3.369868591711292,0.6007260539379622,0.28714411967257125,368.1317810279504,92.85971598707481,59.3683545574679,distr,y,u,free,e,s,393.08,160.03,2878.52,194.36,48.29860659387965,12.11337733
5,5.5273752442869455,3.354693552738453,0.5227863459905856,0.29192365744392546,202.68015707404976,88.86226947053234,66.48850790193792,distr,y,u,free,e,s,2924.57,195.02,2878.52,194.36,50.886592255541615,12.05502026
5,5.922644463915835,3.320945711873436,0.535884967584179,0.2821047312425082,0.9324389968432857,103.94389087893326,58.807232519302296,distr,y,u,free,e,s,2924.57,195.02,2878.52,194.36,50.889697881410555,11.99912918
0,5.003421021237126,3.0467151679187676,0.5471137591537363,0.2914163860874392,596.7193208591568,104.70650630585229,66.52903882797715,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,49.91100471328965,12.17363616
3,5.87295362361424,2.900859178623752,0.602608407902157,0.28995331873706714,416.92119682835516,97.16471447410464,59.08971550291682,distr,y,u,free,e,s,400.0,200.0,2878.52,194.36,44.627475848642966,12.11335617
3,5.893151957209886,3.4712575267067995,0.5685455815876764,0.2891164725690585,195.6316467122737,95.95387126596802,58.5175707066188,distr,y,u,free,e,s,283.37,226.93,2878.52,194.36,45.390533697057066,12.05501105
3,5.659736735657734,3.3402560193062354,0.5927134842138905,0.2869617529412742,0.9177231879190122,92.88576255908318,60.11229682914339,distr,y,u,free,e,s,283.37,226.93,2878.52,194.36,48.29901836001479,11.99911534
0,5.003421021237126,3.0467151679187676,0.5471137591537363,0.2914163860874392,596.7193208591568,104.70650630585229,66.52903882797715,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,49.91100471328965,12.17363616
3,5.091858823577009,3.253036189533737,0.5441327630522553,0.28333304431804496,419.65358823561905,92.15380422928817,70.8825156366638,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,49.77978993932522,12.11336319
3,5.008116128717892,3.0382261901817103,0.5472713867694753,0.29083209589403225,200.77320571621496,104.57429078369793,66.76700496042876,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,49.911185524161375,12.05502496
3,4.987268347756731,3.261842318565805,0.5214552499328741,0.29157178475901824,0.9904544722745956,92.12357103058966,66.22558964026922,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,44.97488937199515,11.99915234
0,7.080272259425288,4.714913010522128,0.7127220471511473,0.37898350210167725,452.583491020254,72.92228770201554,69.45958929271866,free,e,u,free,e,s,801.43,728.17,364.2,741.87,36.47935562850836,11.76605746
