PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
0,6.754890322100564,2.134309260350011,0.5280482818146133,0.3175025317872574,367.68827567514677,51.67395053075105,81.15166611360007,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,50.62442833402618,12.17367891,,,,,,,,,
0,6.607776732172869,3.3964066781558344,0.7764872421006255,0.22367975418575065,535.0008688572798,94.54027711873293,54.54214942159378,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,60.25892079672209,12.17363616,,,,,,,,,
3,5.572114284613719,2.56567849253647,0.6367030701383494,0.14332131186158525,383.5265317608179,58.214868311196824,85.32658985123348,distr,y,u,free,e,s,393.08,160.03,2878.52,194.36,49.53759036345821,12.11337733,,,,,,,,,
0,5.544187306468841,4.222419544745146,0.5407085085293423,0.39430271858734856,661.6897376223092,66.98189129416599,60.48427352047206,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,92.70115388347178,12.17363616,,,,,,,,,
3,7.398552926900262,4.067942272421131,0.5326443073869439,0.16345520254880722,415.5818830901293,44.74032181172484,84.17411680457774,distr,y,u,free,e,s,283.37,226.93,2878.52,194.36,90.17075294405247,11.99911534,,,,,,,,,
0,7.14619433377468,3.2473370858568362,0.6710355534464416,0.17844932381527667,348.19099848199886,48.627595531470995,66.1815419449541,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,50.182508334592384,12.17363616,,,,,,,,,
3,6.992408592857137,3.980896334003767,0.7749159747096938,0.17592933566860347,304.78381098354726,44.60835023835708,84.50401797912903,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,65.73615304384408,12.11336319,,,,,,,,,
3,6.066490470818911,2.6371859602399956,0.7686861392595199,0.17578027732330354,490.86236139424886,76.06252226282504,95.51428254530148,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,84.36483252183407,12.05502496,,,,,,,,,
3,5.591656810267432,3.9096814337964974,0.5755873887163965,0.3483461396126285,282.7009941675835,97.01046041146442,80.64210689679547,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,64.64231524150185,11.99915234,,,,,,,,,
0,5.5289253146639785,3.83310671677818,0.7064335341103445,0.35356236979664835,432.6919896304745,86.41942127830568,54.155955900099045,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,43.51314401045157,11.22286933,,,,,,,,,
0,5.009110566981347,3.8407638003439835,0.7307886317422491,0.3233269165502969,588.0739127654786,66.8665297394015,52.028773580049666,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,54.86979788020879,11.22282963,,,,,,,,,
0,5.793469561676801,2.114436250342598,0.7024644787142962,0.3818905616252356,469.8714039329806,84.22436726581125,42.15184914268906,distr,e,u,free,e,u,925.36,181.87,138.53,411.75,45.52472316695185,11.16857777,,,,,,,,,
0,7.456959245671841,2.945429745896001,0.5301428130957313,0.23182199906701295,461.1411761181917,78.28932481308581,99.40128164535753,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,93.39921952680592,11.22282963,,,,,,,,,
0,6.6382081113213465,2.2079751638291962,0.5686354750889798,0.34031212179761694,359.96055457158457,64.90704960838167,36.27416474887124,distr,e,u,free,e,u,1909.3,165.27,138.53,411.75,90.70522438923996,11.16857676,,,,,,,,,
0,7.332424026181352,2.467695821423474,0.714750760422709,0.11207340941530322,681.5299936554865,68.9843996696352,85.03045140715587,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,55.576803506302525,11.22282963,,,,,,,,,
0,7.385201469288142,2.3377863861623833,0.6006220219458374,0.15922794065262263,525.7382539309995,91.06290583169388,41.89064802592604,distr,e,u,free,e,u,548.54,194.9,138.53,411.75,41.795564321026426,11.16858303,,,,,,,,,
0,5.724603666527914,3.185571957295779,0.6716260307113925,0.38757813072764047,692.1814227375237,97.97642770155316,94.57302075996031,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,97.63958037522796,11.9281727,,,,,,,,,
0,6.090544644492103,2.7278410850962804,0.7486128583850644,0.308330418394578,348.7646273912105,57.79416531740054,98.8075255945317,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,45.16761129724502,11.92814216,,,,,,,,,
3,6.6884015049345695,3.9301009530914985,0.7327204250644201,0.3717507347762373,609.4434998558086,93.94990442369024,52.08196922222611,distr,e,u,free,y,h,489.61,175.89,2886.28,195.34,86.40591338504827,11.8433051,,,,,,,,,
0,7.300928014736055,2.9286959658606535,0.53135113978182,0.24143714020631768,336.82357811084785,51.81172300934554,73.29468654787959,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,89.5689352812616,11.92814216,,,,,,,,,
0,6.530588959155034,3.470198004927833,0.6021220812090842,0.37330147852065365,495.94411449555264,87.95386872320015,76.70295618339853,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,70.62991405716562,11.92814216,,,,,,,,,
1,5.524978806690201,2.0565662701712197,0.6528453708446816,0.2293711034828311,321.80196709970517,54.07424129825167,59.87824083932077,foc,e,s,distr,y,u,58.26,254.49,1727.25,213.81,72.23134003782245,11.52248231,,,,,,,,,
4,6.1905041501166185,3.740343559432959,0.5206062035364758,0.3818094460640341,363.21130259022516,99.56813888408391,75.30396600935285,foc,e,s,distr,y,u,1916.89,183.23,2790.44,200.64,44.40773132656314,11.47056211,,,,,,,,,
